fips,location,svi_rpl_themes,ep_pov150,ep_uninsur,ep_noveh,ep_age65,centroid_lat,centroid_lon
04013071510,Census Tract 715.10; Maricopa County; Arizona,0.0722,4.9,1.9,0.0,15.6,33.602238,-112.212787
04013071511,Census Tract 715.11; Maricopa County; Arizona,0.7133,19.4,9.4,2.3,12.1,33.630159,-112.210903
04013071512,Census Tract 715.12; Maricopa County; Arizona,0.3647,18.0,12.0,2.6,15.1,33.603722,-112.228774
04013071513,Census Tract 715.13; Maricopa County; Arizona,0.5421,12.7,7.6,1.1,27.6,33.620538,-112.212373
04013071514,Census Tract 715.14; Maricopa County; Arizona,0.2927,13.8,3.0,2.3,14.2,33.6298,-112.244347
04013071515,Census Tract 715.15; Maricopa County; Arizona,0.5198,11.6,5.3,12.5,30.1,33.620075,-112.248791
04013071516,Census Tract 715.16; Maricopa County; Arizona,0.773,12.5,6.2,18.3,33.1,33.603208,-112.261194
04013071517,Census Tract 715.17; Maricopa County; Arizona,0.2228,8.6,10.0,2.8,10.8,33.598391,-112.250411
04013071600,Census Tract 716; Maricopa County; Arizona,0.9303,30.1,13.4,12.8,19.0,33.588676,-112.305509
04013071701,Census Tract 717.01; Maricopa County; Arizona,0.6709,21.9,5.1,4.7,14.9,33.575303,-112.304386
04013071702,Census Tract 717.02; Maricopa County; Arizona,0.4036,20.7,4.4,4.8,74.6,33.583853,-112.29398
04013071801,Census Tract 718.01; Maricopa County; Arizona,0.6867,28.4,3.4,11.3,65.1,33.588811,-112.274596
04013071802,Census Tract 718.02; Maricopa County; Arizona,0.4529,23.4,4.5,4.6,76.0,33.572562,-112.278907
04013071903,Census Tract 719.03; Maricopa County; Arizona,0.6845,16.7,15.6,1.9,23.1,33.588948,-112.212594
04013071906,Census Tract 719.06; Maricopa County; Arizona,0.8164,18.5,17.5,5.2,14.2,33.575019,-112.247865
04013071909,Census Tract 719.09; Maricopa County; Arizona,0.6435,11.7,8.8,2.8,21.3,33.570887,-112.267574
04013071910,Census Tract 719.10; Maricopa County; Arizona,0.7475,29.2,7.9,0.0,8.7,33.586689,-112.230871
04013071911,Census Tract 719.11; Maricopa County; Arizona,0.7444,23.7,22.3,0.9,7.9,33.575635,-112.230182
04013071912,Census Tract 719.12; Maricopa County; Arizona,0.8689,24.1,15.8,3.5,11.4,33.586265,-112.254169
04013071913,Census Tract 719.13; Maricopa County; Arizona,0.9954,44.7,11.4,11.3,16.8,33.589408,-112.247154
04013071914,Census Tract 719.14; Maricopa County; Arizona,0.5078,27.4,19.4,0.0,7.8,33.575022,-112.216424
04013071915,Census Tract 719.15; Maricopa County; Arizona,0.5621,11.6,11.5,0.7,15.6,33.572604,-112.207017
04013082002,Census Tract 820.02; Maricopa County; Arizona,0.6391,24.7,13.8,1.9,8.3,33.5001,-112.281889
04013082007,Census Tract 820.07; Maricopa County; Arizona,0.8698,22.0,15.1,1.2,13.5,33.503065,-112.25074
04013082008,Census Tract 820.08; Maricopa County; Arizona,0.6533,23.1,26.8,1.5,8.0,33.502421,-112.241753
04013082009,Census Tract 820.09; Maricopa County; Arizona,0.8057,23.3,19.8,9.7,5.7,33.485623,-112.251317
04013082010,Census Tract 820.10; Maricopa County; Arizona,0.7047,21.9,12.8,0.0,3.7,33.488278,-112.242634
04013082012,Census Tract 820.12; Maricopa County; Arizona,0.6681,21.6,15.0,5.1,5.4,33.498602,-112.303182
04013082016,Census Tract 820.16; Maricopa County; Arizona,0.759,21.4,9.1,5.1,15.2,33.497402,-112.264721
04013082017,Census Tract 820.17; Maricopa County; Arizona,0.9054,21.0,21.1,3.4,4.8,33.470478,-112.263716
04013082018,Census Tract 820.18; Maricopa County; Arizona,0.7467,22.6,29.8,1.8,5.7,33.473789,-112.247011
